,brush_teeth,eat_chips,mop_floor,sweep,type_on_keyboard,wash_hands,watch_tv,accuracy,macro avg,weighted avg
precision,0.5833333333333334,0.9595959595959596,0.625,0.5365853658536586,0.6949152542372882,0.27906976744186046,0.9743589743589743,0.7073170731707317,0.6646940935458677,0.7646339351719202
recall,0.5490196078431373,0.7089552238805971,0.5434782608695652,0.55,1.0,0.8,0.9047619047619048,0.7073170731707317,0.7223164281936006,0.7073170731707317
f1-score,0.5656565656565656,0.8154506437768241,0.5813953488372093,0.5432098765432098,0.82,0.41379310344827586,0.9382716049382716,0.7073170731707317,0.668253877600051,0.7203950032031187
support,51.0,134.0,46.0,40.0,41.0,15.0,42.0,0.7073170731707317,369.0,369.0
