,brush_teeth,eat_chips,mop_floor,sweep,type_on_keyboard,wash_hands,watch_tv
brush_teeth,0.17777777777777778,0.28888888888888886,0.35555555555555557,0.08888888888888889,0.0,0.08888888888888889,0.0
eat_chips,0.0,0.9821428571428571,0.0,0.0,0.0,0.0,0.017857142857142856
mop_floor,0.03636363636363636,0.03636363636363636,0.4,0.5272727272727272,0.0,0.0,0.0
sweep,0.0,0.03333333333333333,0.6,0.36666666666666664,0.0,0.0,0.0
type_on_keyboard,0.0,0.01818181818181818,0.0,0.0,0.9818181818181818,0.0,0.0
wash_hands,0.13043478260869565,0.057971014492753624,0.043478260869565216,0.30434782608695654,0.0,0.463768115942029,0.0
watch_tv,0.0,0.2222222222222222,0.0,0.015873015873015872,0.0,0.09523809523809523,0.6666666666666666
