,brush_teeth,eat_chips,mop_floor,sweep,type_on_keyboard,wash_hands,watch_tv,accuracy,macro avg,weighted avg
precision,0.42105263157894735,0.6043956043956044,0.2857142857142857,0.2857142857142857,1.0,0.7619047619047619,0.9767441860465116,0.5831265508684863,0.6193608221934852,0.632151308726323
recall,0.17777777777777778,0.9821428571428571,0.4,0.36666666666666664,0.9818181818181818,0.463768115942029,0.6666666666666666,0.5831265508684863,0.5769771808591685,0.5831265508684863
f1-score,0.25,0.7482993197278912,0.3333333333333333,0.32116788321167883,0.9908256880733946,0.5765765765765766,0.7924528301886793,0.5831265508684863,0.573236518730222,0.5830319929541024
support,45.0,56.0,55.0,60.0,55.0,69.0,63.0,0.5831265508684863,403.0,403.0
