,brush_teeth,eat_chips,mop_floor,sweep,type_on_keyboard,wash_hands,watch_tv
brush_teeth,0.9473684210526315,0.017543859649122806,0.0,0.017543859649122806,0.0,0.017543859649122806,0.0
eat_chips,0.017241379310344827,0.9827586206896551,0.0,0.0,0.0,0.0,0.0
mop_floor,0.0,0.0,0.44642857142857145,0.5535714285714286,0.0,0.0,0.0
sweep,0.0,0.0,0.6842105263157895,0.3157894736842105,0.0,0.0,0.0
type_on_keyboard,0.0,0.6229508196721312,0.0,0.0,0.3770491803278688,0.0,0.0
wash_hands,0.23728813559322035,0.23728813559322035,0.03389830508474576,0.0,0.0,0.2033898305084746,0.288135593220339
watch_tv,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.9841269841269841
