,brush_teeth,eat_chips,mop_floor,sweep,type_on_keyboard,wash_hands,watch_tv
brush_teeth,0.5490196078431373,0.0196078431372549,0.0196078431372549,0.0,0.0,0.4117647058823529,0.0
eat_chips,0.11194029850746269,0.7089552238805971,0.007462686567164179,0.0,0.13432835820895522,0.029850746268656716,0.007462686567164179
mop_floor,0.043478260869565216,0.021739130434782608,0.5434782608695652,0.391304347826087,0.0,0.0,0.0
sweep,0.0,0.0,0.325,0.55,0.0,0.125,0.0
type_on_keyboard,0.0,0.0,0.0,0.0,1.0,0.0,0.0
wash_hands,0.13333333333333333,0.0,0.0,0.06666666666666667,0.0,0.8,0.0
watch_tv,0.023809523809523808,0.047619047619047616,0.0,0.0,0.0,0.023809523809523808,0.9047619047619048
