,brush_teeth,eat_chips,mop_floor,sweep,type_on_keyboard,wash_hands,watch_tv,accuracy,macro avg,weighted avg
precision,0.782608695652174,0.5135135135135135,0.3787878787878788,0.36,1.0,0.9230769230769231,0.7848101265822784,0.610705596107056,0.6775424482303954,0.6837692873097345
recall,0.9473684210526315,0.9827586206896551,0.44642857142857145,0.3157894736842105,0.3770491803278688,0.2033898305084746,0.9841269841269841,0.610705596107056,0.6081301545454851,0.610705596107056
f1-score,0.8571428571428571,0.6745562130177515,0.4098360655737705,0.3364485981308411,0.5476190476190477,0.3333333333333333,0.8732394366197183,0.610705596107056,0.5760250787767599,0.5795506230078645
support,57.0,58.0,56.0,57.0,61.0,59.0,63.0,0.610705596107056,411.0,411.0
