,brush_teeth,eat_chips,mop_floor,sweep,type_on_keyboard,wash_hands,watch_tv
brush_teeth,0.7719298245614035,0.017543859649122806,0.0,0.017543859649122806,0.0,0.19298245614035087,0.0
eat_chips,0.017241379310344827,0.9827586206896551,0.0,0.0,0.0,0.0,0.0
mop_floor,0.017857142857142856,0.0,0.5714285714285714,0.4107142857142857,0.0,0.0,0.0
sweep,0.0,0.017543859649122806,0.543859649122807,0.38596491228070173,0.0,0.05263157894736842,0.0
type_on_keyboard,0.04918032786885246,0.5573770491803278,0.0,0.0,0.39344262295081966,0.0,0.0
wash_hands,0.288135593220339,0.1864406779661017,0.01694915254237288,0.0,0.0,0.288135593220339,0.22033898305084745
watch_tv,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.9841269841269841
