,brush_teeth,eat_chips,mop_floor,sweep,type_on_keyboard,wash_hands,watch_tv
brush_teeth,0.6470588235294118,0.0,0.0196078431372549,0.0392156862745098,0.11764705882352941,0.17647058823529413,0.0
eat_chips,0.1044776119402985,0.6417910447761194,0.007462686567164179,0.0,0.23134328358208955,0.007462686567164179,0.007462686567164179
mop_floor,0.15217391304347827,0.021739130434782608,0.5217391304347826,0.30434782608695654,0.0,0.0,0.0
sweep,0.025,0.0,0.3,0.525,0.0,0.15,0.0
type_on_keyboard,0.0,0.0,0.0,0.0,1.0,0.0,0.0
wash_hands,0.06666666666666667,0.0,0.0,0.2,0.0,0.7333333333333333,0.0
watch_tv,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.9285714285714286
