,brush_teeth,eat_chips,mop_floor,sweep,type_on_keyboard,wash_hands,watch_tv
brush_teeth,0.15555555555555556,0.08888888888888889,0.4,0.15555555555555556,0.0,0.13333333333333333,0.06666666666666667
eat_chips,0.0,0.8571428571428571,0.05357142857142857,0.0,0.0,0.0,0.08928571428571429
mop_floor,0.01818181818181818,0.03636363636363636,0.4727272727272727,0.41818181818181815,0.0,0.0,0.05454545454545454
sweep,0.0,0.016666666666666666,0.45,0.5333333333333333,0.0,0.0,0.0
type_on_keyboard,0.0,0.0,0.0,0.0,0.7818181818181819,0.0,0.21818181818181817
wash_hands,0.07246376811594203,0.014492753623188406,0.057971014492753624,0.5072463768115942,0.0,0.2898550724637681,0.057971014492753624
watch_tv,0.0,0.23809523809523808,0.015873015873015872,0.015873015873015872,0.0,0.14285714285714285,0.5873015873015873
