,brush_teeth,eat_chips,mop_floor,sweep,type_on_keyboard,wash_hands,watch_tv,accuracy,macro avg,weighted avg
precision,0.559322033898305,0.9885057471264368,0.631578947368421,0.525,0.5256410256410257,0.4074074074074074,0.975,0.6910569105691057,0.658922165920228,0.7578596709623215
recall,0.6470588235294118,0.6417910447761194,0.5217391304347826,0.525,1.0,0.7333333333333333,0.9285714285714286,0.6910569105691057,0.7139276800921536,0.6910569105691057
f1-score,0.6,0.7782805429864253,0.5714285714285714,0.525,0.6890756302521008,0.5238095238095238,0.9512195121951219,0.6910569105691057,0.6626876829531062,0.6998259356519495
support,51.0,134.0,46.0,40.0,41.0,15.0,42.0,0.6910569105691057,369.0,369.0
