,brush_teeth,eat_chips,mop_floor,sweep,type_on_keyboard,wash_hands,watch_tv,accuracy,macro avg,weighted avg
precision,0.6666666666666666,0.5428571428571428,0.5,0.4782608695652174,1.0,0.5483870967741935,0.8266666666666667,0.6277372262773723,0.6518340632185554,0.6573757239917496
recall,0.7719298245614035,0.9827586206896551,0.5714285714285714,0.38596491228070173,0.39344262295081966,0.288135593220339,0.9841269841269841,0.6277372262773723,0.6253981613226393,0.6277372262773723
f1-score,0.7154471544715447,0.6993865030674846,0.5333333333333333,0.42718446601941745,0.5647058823529412,0.37777777777777777,0.8985507246376812,0.6277372262773723,0.6023408345228828,0.6056100476329874
support,57.0,58.0,56.0,57.0,61.0,59.0,63.0,0.6277372262773723,411.0,411.0
