,brush_teeth,eat_chips,mop_floor,sweep,type_on_keyboard,wash_hands,watch_tv,accuracy,macro avg,weighted avg
precision,0.5384615384615384,0.676056338028169,0.3291139240506329,0.32653061224489793,1.0,0.5714285714285714,0.578125,0.5285359801488834,0.5742451406019728,0.5722914966411831
recall,0.15555555555555556,0.8571428571428571,0.4727272727272727,0.5333333333333333,0.7818181818181819,0.2898550724637681,0.5873015873015873,0.5285359801488834,0.525390551477508,0.5285359801488834
f1-score,0.2413793103448276,0.7559055118110236,0.3880597014925373,0.4050632911392405,0.8775510204081632,0.38461538461538464,0.5826771653543307,0.5285359801488834,0.5193216264522154,0.5219659745796821
support,45.0,56.0,55.0,60.0,55.0,69.0,63.0,0.5285359801488834,403.0,403.0
