Split,Accuracy,F1 Macro,F1 Weighted,Model,Modality,CV
LOUO:user1,0.6964769647696477,0.6645583537758298,0.7065822876143173,rf,fusion,louo
LOUO:user2,0.5806451612903226,0.578805111615291,0.5822198946837832,rf,fusion,louo
LOUO:user3,0.5790754257907542,0.5348834239871565,0.5373539828875015,rf,fusion,louo
LOUO:user1,0.7479674796747967,0.7098422504408015,0.7554484295305207,lgbm,fusion,louo
LOUO:user2,0.4987593052109181,0.48346395652630164,0.4847659589324239,lgbm,fusion,louo
LOUO:user3,0.6472019464720195,0.6122561074823466,0.6143841954872332,lgbm,fusion,louo
